key,en
store_btn,Store
settings_btn,Settings
settings_graphics_btn,Graphics
settings_audio_btn,Audio
settings_game_btn,Game
coin_particles_amount,Coin particles
coin_amount_dropdown_1,High
coin_amount_dropdown_2,Medium
coin_amount_dropdown_3,Low
coin_amount_dropdown_4,Very Low
coin_amount_dropdown_5,OFF
coin_particles_amount_description,"Changes the amount of coins on screen,\n can improve performance on low-end devices."
enemy_animations,Enemy animations
enemy_animations_description,"Toggles enemy animations,\n can improve performance on low-end devices."
ui_animations,UI Animations
ui_animations_description,"Toggles ui animations,\n can improve performance on low-end devices."
blur_bg,BG Blur
blur_bg_description,"Toggles background blur on menus,\n can improve performance on low-end devices."
sound_volume,Sound Volume
music_volume,Music Volune
language,Language
droopers,Droopers
coins,Coins
income,Income
enemies,Enemies
upgrades,Upgrades
buy_btn,Buy
upgrade_btn,Upgrade Level 
enemy_change_btn,Change
price,Price: 
drooper_cooldown_name,Faster droopers
enemy_multiplier_name,Enemy multiplier
drooper_cooldown_desc,Speeds up droopers by 0.1 second
enemy_multiplier_desc,Multiplies amount of coins from enemy
enemy_multiplier_text,x Mult
drooper_cooldown_text,Cooldown: 
per_second,per second
per_click,per kill
disclaimer_content,"This fan project is not endorsored
or afflitiated with Paradoxum Games,
and its developers in any way, as well with Roblox
Corporation and others, do not sell or distribute this project
in a paid manner this and will always be free of charge
If you want to support me Follow me on social media!
Maritosu.bsky.social
@Maritosu on YouTube"
disclaimer_btn,Warning
not_enough_coins,You don’t have enough coins to buy this item!
upgrade_maxxed,You have reached maximum level for this upgrade!
